t,t_sec,Tamb,PV1,PV2,PV3,SP,PV_prom
Thu Jan 30 18:16:26 2020,0.000,29.022,61.510,61.486,61.596,70.000,61.536
Thu Jan 30 18:16:27 2020,0.817,29.022,61.510,61.486,61.596,70.000,61.536
Thu Jan 30 18:16:28 2020,1.616,29.023,61.499,61.475,61.589,70.000,61.526
Thu Jan 30 18:16:29 2020,2.433,29.025,61.508,61.475,61.591,70.000,61.510
Thu Jan 30 18:16:30 2020,3.232,29.026,61.562,61.513,61.633,70.000,61.516
Thu Jan 30 18:16:30 2020,4.048,29.026,61.562,61.513,61.633,70.000,61.516
Thu Jan 30 18:16:31 2020,4.848,29.028,61.662,61.606,61.729,70.000,61.557
Thu Jan 30 18:16:32 2020,5.664,29.029,61.810,61.733,61.850,70.000,61.656
Thu Jan 30 18:16:33 2020,6.480,29.029,61.810,61.733,61.850,70.000,61.656
Thu Jan 30 18:16:34 2020,7.280,29.030,61.977,61.892,62.003,70.000,61.786
Thu Jan 30 18:16:34 2020,8.096,29.031,62.165,62.074,62.174,70.000,61.953
Thu Jan 30 18:16:35 2020,8.896,29.032,62.367,62.273,62.364,70.000,62.130
Thu Jan 30 18:16:36 2020,9.712,29.032,62.367,62.273,62.364,70.000,62.130
Thu Jan 30 18:16:37 2020,10.513,29.034,62.583,62.488,62.570,70.000,62.328
Thu Jan 30 18:16:38 2020,11.328,29.036,62.807,62.712,62.787,70.000,62.542
Thu Jan 30 18:16:38 2020,12.129,29.038,63.040,62.947,63.012,70.000,62.615
Thu Jan 30 18:16:39 2020,12.944,29.038,63.040,62.947,63.012,70.000,62.760
Thu Jan 30 18:16:40 2020,13.745,29.039,63.280,63.211,63.270,70.000,62.990
Thu Jan 30 18:16:41 2020,14.560,29.041,63.547,63.460,63.515,70.000,63.245
Thu Jan 30 18:16:42 2020,15.362,29.041,63.547,63.460,63.515,70.000,63.245
Thu Jan 30 18:16:42 2020,16.176,29.043,63.799,63.715,63.762,70.000,63.500
Thu Jan 30 18:16:43 2020,16.992,29.044,64.051,63.974,64.017,70.000,63.750
Thu Jan 30 18:16:44 2020,17.792,29.046,64.298,64.232,64.271,70.000,64.010
Thu Jan 30 18:16:45 2020,18.608,29.046,64.298,64.232,64.271,70.000,64.010
Thu Jan 30 18:16:46 2020,19.408,29.048,64.524,64.473,64.502,70.000,64.260
Thu Jan 30 18:16:47 2020,20.224,29.048,64.726,64.690,64.718,70.000,64.495
Thu Jan 30 18:16:47 2020,21.024,29.048,64.911,64.889,64.919,70.000,64.562
Thu Jan 30 18:16:48 2020,21.840,29.048,64.911,64.889,64.919,70.000,64.703
Thu Jan 30 18:16:49 2020,22.640,29.048,65.082,65.087,65.121,70.000,64.896
Thu Jan 30 18:16:50 2020,23.456,29.047,65.256,65.257,65.289,70.000,65.089
Thu Jan 30 18:16:51 2020,24.256,29.047,65.256,65.257,65.289,70.000,65.089
Thu Jan 30 18:16:51 2020,25.072,29.046,65.407,65.418,65.447,70.000,65.260
Thu Jan 30 18:16:52 2020,25.872,29.048,65.552,65.572,65.608,70.000,65.417
Thu Jan 30 18:16:53 2020,26.688,29.047,65.695,65.720,65.760,70.000,65.568
Thu Jan 30 18:16:54 2020,27.503,29.047,65.695,65.720,65.760,70.000,65.568
Thu Jan 30 18:16:55 2020,28.304,29.048,65.831,65.865,65.905,70.000,65.719
Thu Jan 30 18:16:55 2020,29.119,29.050,65.967,66.005,66.051,70.000,65.859
Thu Jan 30 18:16:56 2020,29.920,29.053,66.098,66.143,66.187,70.000,65.859
Thu Jan 30 18:16:57 2020,30.735,29.053,66.098,66.143,66.187,70.000,66.000
Thu Jan 30 18:16:58 2020,31.536,29.056,66.230,66.291,66.338,70.000,66.135
Thu Jan 30 18:16:59 2020,32.351,29.063,66.369,66.422,66.465,70.000,66.276
Thu Jan 30 18:16:59 2020,33.152,29.063,66.369,66.422,66.465,70.000,66.276
Thu Jan 30 18:17:00 2020,33.967,29.066,66.492,66.551,66.595,70.000,66.411
Thu Jan 30 18:17:01 2020,34.768,29.071,66.603,66.667,66.713,70.000,66.542
