t;t_sec;Tamb;PV1;PV2;PV3;SP;PV_prom
Mon Jan 13 17:18:04 2020;0.000;26.391;27.750;27.747;27.676;0.000;27.719
Mon Jan 13 17:18:05 2020;0.816;26.391;27.750;27.747;27.676;70.000;27.719
Mon Jan 13 17:18:06 2020;1.616;26.396;27.750;27.746;27.677;70.000;27.719
Mon Jan 13 17:18:07 2020;2.432;26.400;27.750;27.746;27.677;70.000;27.719
Mon Jan 13 17:18:07 2020;3.232;26.400;27.750;27.746;27.677;70.000;27.719
Mon Jan 13 17:18:08 2020;4.049;26.402;27.750;27.747;27.677;70.000;27.719
Mon Jan 13 17:18:09 2020;4.848;26.405;27.750;27.746;27.676;70.000;27.719
Mon Jan 13 17:18:10 2020;5.664;26.405;27.750;27.746;27.676;70.000;27.719
Mon Jan 13 17:18:11 2020;6.464;26.407;27.750;27.746;27.676;70.000;27.719
Mon Jan 13 17:18:11 2020;7.280;26.410;27.750;27.746;27.676;70.000;27.719
Mon Jan 13 17:18:12 2020;8.080;26.410;27.750;27.746;27.676;70.000;27.719
Mon Jan 13 17:18:13 2020;8.896;26.410;27.750;27.746;27.676;70.000;27.719
Mon Jan 13 17:18:14 2020;9.712;26.412;27.750;27.746;27.676;70.000;27.719
Mon Jan 13 17:18:15 2020;10.512;26.413;27.749;27.746;27.676;70.000;27.719
Mon Jan 13 17:18:15 2020;11.328;26.413;27.749;27.746;27.676;70.000;27.719
Mon Jan 13 17:18:16 2020;12.128;26.414;27.750;27.746;27.676;70.000;27.714
Mon Jan 13 17:18:17 2020;12.944;26.412;27.750;27.745;27.676;70.000;27.719
Mon Jan 13 17:18:18 2020;13.744;26.412;27.750;27.745;27.676;70.000;27.719
Mon Jan 13 17:18:19 2020;14.560;26.414;27.750;27.746;27.677;70.000;27.719
Mon Jan 13 17:18:19 2020;15.360;26.416;27.759;27.751;27.681;70.000;27.719
Mon Jan 13 17:18:20 2020;16.176;26.416;27.759;27.751;27.681;70.000;27.719
Mon Jan 13 17:18:21 2020;16.976;26.418;27.826;27.794;27.734;70.000;27.724
Mon Jan 13 17:18:22 2020;17.792;26.421;27.947;27.887;27.853;70.000;27.771
Mon Jan 13 17:18:23 2020;18.592;26.421;27.947;27.887;27.853;70.000;27.771
Mon Jan 13 17:18:24 2020;19.408;26.422;28.125;28.021;28.022;70.000;27.885
Mon Jan 13 17:18:24 2020;20.224;26.422;28.337;28.185;28.225;70.000;28.052
Mon Jan 13 17:18:25 2020;21.024;26.422;28.337;28.185;28.225;70.000;28.052
Mon Jan 13 17:18:26 2020;21.840;26.421;28.572;28.355;28.451;70.000;28.240
Mon Jan 13 17:18:27 2020;22.640;26.421;28.823;28.559;28.691;70.000;28.448
Mon Jan 13 17:18:28 2020;23.456;26.421;29.084;28.559;28.691;70.000;28.448
Mon Jan 13 17:18:28 2020;24.256;26.423;29.084;28.775;28.921;70.000;28.682
Mon Jan 13 17:18:29 2020;25.072;26.424;29.351;29.002;29.181;70.000;28.917
Mon Jan 13 17:18:30 2020;25.872;26.425;29.599;29.220;29.424;70.000;29.172
Mon Jan 13 17:18:31 2020;26.688;26.425;29.599;29.220;29.424;70.000;29.172
Mon Jan 13 17:18:32 2020;27.488;26.425;29.851;29.443;29.672;70.000;29.411
Mon Jan 13 17:18:32 2020;28.304;26.424;30.105;29.670;29.921;70.000;29.651
Mon Jan 13 17:18:33 2020;29.104;26.424;30.360;29.902;30.174;70.000;29.651
Mon Jan 13 17:18:34 2020;29.920;26.423;30.360;29.902;30.174;70.000;29.885
Mon Jan 13 17:18:35 2020;30.735;26.421;30.615;30.138;30.427;70.000;30.141
Mon Jan 13 17:18:36 2020;31.536;26.419;30.872;30.397;30.705;70.000;30.385
Mon Jan 13 17:18:36 2020;32.351;26.419;30.872;30.397;30.705;70.000;30.385
Mon Jan 13 17:18:37 2020;33.152;26.418;31.152;30.637;30.960;70.000;30.651
Mon Jan 13 17:18:38 2020;33.967;26.417;31.408;30.879;31.216;70.000;30.906
Mon Jan 13 17:18:39 2020;34.768;26.415;31.664;31.122;31.471;70.000;31.161
Mon Jan 13 17:18:40 2020;35.583;26.415;31.664;31.122;31.471;70.000;31.161
Mon Jan 13 17:18:40 2020;36.384;26.414;31.919;31.365;31.726;70.000;31.411
Mon Jan 13 17:18:41 2020;37.199;26.413;32.174;31.610;31.980;70.000;31.661
Mon Jan 13 17:18:42 2020;38.000;26.413;32.428;31.855;32.234;70.000;31.661
Mon Jan 13 17:18:43 2020;38.815;26.414;32.428;31.855;32.234;70.000;31.917
Mon Jan 13 17:18:44 2020;39.616;26.416;32.680;32.123;32.511;70.000;32.161
Mon Jan 13 17:18:45 2020;40.431;26.416;32.956;32.368;32.764;70.000;32.427
Mon Jan 13 17:18:45 2020;41.248;26.416;32.956;32.368;32.764;70.000;32.427
Mon Jan 13 17:18:46 2020;42.048;26.417;33.206;32.613;33.016;70.000;32.688
Mon Jan 13 17:18:47 2020;42.863;26.418;33.457;32.857;33.267;70.000;32.943
Mon Jan 13 17:18:48 2020;43.663;26.418;33.707;33.102;33.517;70.000;33.104
Mon Jan 13 17:18:49 2020;44.480;26.418;33.707;33.102;33.517;70.000;33.188
Mon Jan 13 17:18:49 2020;45.279;26.419;33.955;33.345;33.766;70.000;33.438
Mon Jan 13 17:18:50 2020;46.096;26.419;34.202;33.588;34.015;70.000;33.688
Mon Jan 13 17:18:51 2020;46.896;26.419;34.448;33.588;34.015;70.000;33.688
Mon Jan 13 17:18:52 2020;47.712;26.422;34.448;33.830;34.261;70.000;33.922
Mon Jan 13 17:18:53 2020;48.512;26.423;34.693;34.094;34.528;70.000;34.172
Mon Jan 13 17:18:53 2020;49.328;26.425;34.958;34.335;34.774;70.000;34.432
Mon Jan 13 17:18:54 2020;50.128;26.425;34.958;34.335;34.774;70.000;34.432
Mon Jan 13 17:18:55 2020;50.944;26.428;35.202;34.574;35.017;70.000;34.682
Mon Jan 13 17:18:56 2020;51.760;26.431;35.443;34.814;35.259;70.000;34.922
Mon Jan 13 17:18:57 2020;52.560;26.431;35.684;35.052;35.500;70.000;35.089
Mon Jan 13 17:18:57 2020;53.376;26.431;35.684;35.052;35.500;70.000;35.167
Mon Jan 13 17:18:58 2020;54.176;26.431;35.923;35.290;35.739;70.000;35.406
Mon Jan 13 17:18:59 2020;54.992;26.431;36.163;35.527;35.980;70.000;35.646
Mon Jan 13 17:19:00 2020;55.792;26.431;36.400;35.527;35.980;70.000;35.646
Mon Jan 13 17:19:01 2020;56.608;26.425;36.400;35.763;36.238;70.000;35.880
Mon Jan 13 17:19:02 2020;57.408;26.423;36.658;36.020;36.475;70.000;36.125
Mon Jan 13 17:19:02 2020;58.224;26.420;36.894;36.253;36.712;70.000;36.380
Mon Jan 13 17:19:03 2020;59.024;26.420;36.894;36.253;36.712;70.000;36.380
Mon Jan 13 17:19:04 2020;59.840;26.423;37.129;36.488;36.947;70.000;36.615
Mon Jan 13 17:19:05 2020;60.640;26.427;37.363;36.720;37.181;70.000;36.849
Mon Jan 13 17:19:06 2020;61.456;26.431;37.596;36.953;37.414;70.000;37.005
Mon Jan 13 17:19:06 2020;62.256;26.431;37.596;36.953;37.414;70.000;37.083
